# MTA NYC subway stations. Pulled from data.ny.gov dataset 39hk-dx4f
# ("MTA Subway Stations") via scripts/refresh-mta-stations.sh; rerun
# that script to refresh after service changes.
#
# Schema:
#   stop_id     — GTFS parent stop id (e.g. "B12", "R01"). Platforms are
#                 <id>N (north / often uptown / Manhattan-bound) and <id>S
#                 (south / often downtown / Coney-bound).
#   stop_name   — display name as MTA prints it.
#   borough     — Bk / Bx / M / Q / SI.
#   lines       — semicolon-joined daytime routes serving this station.
#   lat, lon    — WGS84 from GTFS, used for nearest-stop discovery.
#   north_label,
#   south_label — Direction labels. Hand-curated overrides preserved by
#                 the refresh script; missing rows pull MTA defaults.
#                 Edit by hand to make voice aliasing snappier.
#
# Two consumers:
#   - jasper/subway.py  → voice-direction labelling for arrivals tool
#   - jasper/transit/providers/nyc_subway.py
#                       → nearest-stop discovery from user's coords
stop_id,stop_name,borough,lines,lat,lon,north_label,south_label
101,Van Cortlandt Park-242 St,Bx,1,40.889248,-73.898583,Last Stop,Manhattan
103,238 St,Bx,1,40.884667,-73.90087,Van Cortlandt,Manhattan
104,231 St,Bx,1,40.878856,-73.904834,Van Cortlandt,Manhattan
106,Marble Hill-225 St,M,1,40.874561,-73.909831,The Bronx,Downtown
107,215 St,M,1,40.869444,-73.915279,The Bronx,Downtown
108,207 St,M,1,40.864621,-73.918822,The Bronx,Downtown
109,Dyckman St,M,1,40.860531,-73.925536,The Bronx,Downtown
110,191 St,M,1,40.855225,-73.929412,The Bronx,Downtown
111,181 St,M,1,40.849505,-73.933596,The Bronx,Downtown
112,168 St-Washington Hts,M,1,40.840556,-73.940133,Uptown,Downtown
113,157 St,M,1,40.834041,-73.94489,Uptown,Downtown
114,145 St,M,1,40.826551,-73.95036,Uptown,Downtown
115,137 St-City College,M,1,40.822008,-73.953676,Uptown,Downtown
116,125 St,M,1,40.815581,-73.958372,Uptown,Downtown
117,116 St-Columbia University,M,1,40.807722,-73.96411,Uptown,Downtown
118,Cathedral Pkwy (110 St),M,1,40.803967,-73.966847,Uptown,Downtown
119,103 St,M,1,40.799446,-73.968379,Uptown,Downtown
120,96 St,M,1;2;3,40.793919,-73.972323,Uptown,Downtown
121,86 St,M,1,40.788644,-73.976218,Uptown,Downtown
122,79 St,M,1,40.783934,-73.979917,Uptown,Downtown
123,72 St,M,1;2;3,40.778453,-73.98197,Uptown,Downtown
124,66 St-Lincoln Center,M,1,40.77344,-73.982209,Uptown,Downtown
125,59 St-Columbus Circle,M,1,40.768247,-73.981929,Uptown,Downtown
126,50 St,M,1,40.761728,-73.983849,Uptown,Downtown
127,Times Sq-42 St,M,1;2;3,40.75529,-73.987495,Uptown,Downtown
128,34 St-Penn Station,M,1;2;3,40.750373,-73.991057,Uptown,Downtown
129,28 St,M,1,40.747215,-73.993365,Uptown,Downtown
130,23 St,M,1,40.744081,-73.995657,Uptown,Downtown
131,18 St,M,1,40.74104,-73.997871,Uptown,Downtown
132,14 St,M,1;2;3,40.737826,-74.000201,Uptown,Downtown
133,Christopher St-Stonewall,M,1,40.733422,-74.002906,Uptown,Downtown
134,Houston St,M,1,40.728251,-74.005367,Uptown,Downtown
135,Canal St,M,1,40.722854,-74.006277,Uptown,Downtown
136,Franklin St,M,1,40.719318,-74.006886,Uptown,Downtown
137,Chambers St,M,1;2;3,40.715478,-74.009266,Uptown,Downtown
138,WTC Cortlandt,M,1,40.711835,-74.012188,Uptown,Downtown
139,Rector St,M,1,40.707513,-74.013783,Uptown,Downtown
142,South Ferry,M,1,40.702068,-74.013664,Uptown,Last Stop
201,Wakefield-241 St,Bx,2,40.903125,-73.85062,Last Stop,Manhattan
204,Nereid Av,Bx,2;5,40.898379,-73.854376,Northbound,Manhattan
205,233 St,Bx,2;5,40.893193,-73.857473,Northbound,Manhattan
206,225 St,Bx,2;5,40.888022,-73.860341,Northbound,Manhattan
207,219 St,Bx,2;5,40.883895,-73.862633,Northbound,Manhattan
208,Gun Hill Rd,Bx,2;5,40.87785,-73.866256,Northbound,Manhattan
209,Burke Av,Bx,2;5,40.871356,-73.867164,Northbound,Manhattan
210,Allerton Av,Bx,2;5,40.865462,-73.867352,Northbound,Manhattan
211,Pelham Pkwy,Bx,2;5,40.857192,-73.867615,Northbound,Manhattan
212,Bronx Park East,Bx,2;5,40.848828,-73.868457,Northbound,Manhattan
213,E 180 St,Bx,2;5,40.841894,-73.873488,Northbound,Manhattan
214,West Farms Sq-E Tremont Av,Bx,2;5,40.840295,-73.880049,Northbound,Manhattan
215,174 St,Bx,2;5,40.837288,-73.887734,Northbound,Manhattan
216,Freeman St,Bx,2;5,40.829993,-73.891865,Northbound,Manhattan
217,Simpson St,Bx,2;5,40.824073,-73.893064,Northbound,Manhattan
218,Intervale Av,Bx,2;5,40.822181,-73.896736,Northbound,Manhattan
219,Prospect Av,Bx,2;5,40.819585,-73.90177,Northbound,Manhattan
220,Jackson Av,Bx,2;5,40.81649,-73.907807,Northbound,Manhattan
221,3 Av-149 St,Bx,2;5,40.816109,-73.917757,Northbound,Manhattan
222,149 St-Grand Concourse,Bx,2;5,40.81841,-73.926718,Northbound,Manhattan
224,135 St,M,2;3,40.814229,-73.94077,Uptown,Downtown
225,125 St,M,2;3,40.807754,-73.945495,Uptown,Downtown
226,116 St,M,2;3,40.802098,-73.949625,Uptown,Downtown
227,110 St-Malcolm X Plaza,M,2;3,40.799075,-73.951822,Uptown,Downtown
228,Park Place,M,2;3,40.713051,-74.008811,Uptown,Brooklyn
229,Fulton St,M,2;3,40.709416,-74.006571,Uptown,Brooklyn
230,Wall St,M,2;3,40.706821,-74.0091,Uptown,Brooklyn
231,Clark St,Bk,2;3,40.697466,-73.993086,Manhattan,Outbound
232,Borough Hall,Bk,2;3,40.693219,-73.989998,Manhattan,Outbound
233,Hoyt St,Bk,2;3,40.690545,-73.985065,Manhattan,Outbound
234,Nevins St,Bk,2;3;4;5,40.688246,-73.980492,Manhattan,Outbound
235,Atlantic Av-Barclays Ctr,Bk,2;3;4;5,40.684359,-73.977666,Manhattan,Outbound
236,Bergen St,Bk,2;3,40.680829,-73.975098,Manhattan,Outbound
237,Grand Army Plaza,Bk,2;3,40.675235,-73.971046,Manhattan,Outbound
238,Eastern Pkwy-Brooklyn Museum,Bk,2;3,40.671987,-73.964375,Manhattan,Outbound
239,Franklin Av-Medgar Evers College,Bk,2;3;4;5,40.670682,-73.958131,Manhattan,Outbound
241,President St-Medgar Evers College,Bk,2;5,40.667883,-73.950683,Manhattan,Flatbush
242,Sterling St,Bk,2;5,40.662742,-73.95085,Manhattan,Flatbush
243,Winthrop St,Bk,2;5,40.656652,-73.9502,Manhattan,Flatbush
244,Church Av,Bk,2;5,40.650843,-73.949575,Manhattan,Flatbush
245,Beverly Rd,Bk,2;5,40.645098,-73.948959,Manhattan,Flatbush
246,Newkirk Av-Little Haiti,Bk,2;5,40.639967,-73.948411,Manhattan,Flatbush
247,Flatbush Av-Brooklyn College,Bk,2;5,40.632836,-73.947642,Manhattan,Last Stop
248,Nostrand Av,Bk,3,40.669847,-73.950466,Manhattan,Outbound
249,Kingston Av,Bk,3,40.669399,-73.942161,Manhattan,Outbound
250,Crown Hts-Utica Av,Bk,3;4,40.668897,-73.932942,Manhattan,Outbound
251,Sutter Av-Rutland Rd,Bk,3,40.664717,-73.92261,Manhattan,New Lots
252,Saratoga Av,Bk,3,40.661453,-73.916327,Manhattan,New Lots
253,Rockaway Av,Bk,3,40.662549,-73.908946,Manhattan,New Lots
254,Junius St,Bk,3,40.663515,-73.902447,Manhattan,New Lots
255,Pennsylvania Av,Bk,3,40.664635,-73.894895,Manhattan,New Lots
256,Van Siclen Av,Bk,3,40.665449,-73.889395,Manhattan,New Lots
257,New Lots Av,Bk,3,40.666235,-73.884079,Manhattan,Last Stop
301,Harlem-148 St,M,3,40.82388,-73.93647,Last Stop,Downtown
302,145 St,M,3,40.820421,-73.936245,Harlem,Downtown
401,Woodlawn,Bx,4,40.886037,-73.878751,Last Stop,Manhattan
402,Mosholu Pkwy,Bx,4,40.87975,-73.884655,Woodlawn,Manhattan
405,Bedford Park Blvd-Lehman College,Bx,4,40.873412,-73.890064,Northbound,Manhattan
406,Kingsbridge Rd,Bx,4,40.86776,-73.897174,Northbound,Manhattan
407,Fordham Rd,Bx,4,40.862803,-73.901034,Northbound,Manhattan
408,183 St,Bx,4,40.858407,-73.903879,Northbound,Manhattan
409,Burnside Av,Bx,4,40.853453,-73.907684,Northbound,Manhattan
410,176 St,Bx,4,40.84848,-73.911794,Northbound,Manhattan
411,Mt Eden Av,Bx,4,40.844434,-73.914685,Northbound,Manhattan
412,170 St,Bx,4,40.840075,-73.917791,Northbound,Manhattan
413,167 St,Bx,4,40.835537,-73.9214,Northbound,Manhattan
414,161 St-Yankee Stadium,Bx,4,40.827994,-73.925831,Northbound,Manhattan
415,149 St-Grand Concourse,Bx,4,40.818375,-73.927351,Northbound,Manhattan
416,138 St-Grand Concourse,Bx,4;5,40.813224,-73.929849,Northbound,Manhattan
418,Fulton St,M,4;5,40.710368,-74.009509,Uptown,Downtown
419,Wall St,M,4;5,40.707557,-74.011862,Uptown,Downtown
420,Bowling Green,M,4;5,40.704817,-74.014065,Uptown,Downtown
423,Borough Hall,Bk,4;5,40.692404,-73.990151,Manhattan,Outbound
501,Eastchester-Dyre Av,Bx,5,40.8883,-73.830834,Last Stop,Manhattan
502,Baychester Av,Bx,5,40.878663,-73.838591,Eastchester,Manhattan
503,Gun Hill Rd,Bx,5,40.869526,-73.846384,Eastchester,Manhattan
504,Pelham Pkwy,Bx,5,40.858985,-73.855359,Eastchester,Manhattan
505,Morris Park,Bx,5,40.854364,-73.860495,Eastchester,Manhattan
601,Pelham Bay Park,Bx,6,40.852462,-73.828121,Last Stop,Manhattan
602,Buhre Av,Bx,6,40.84681,-73.832569,Pelham Bay,Manhattan
603,Middletown Rd,Bx,6,40.843863,-73.836322,Pelham Bay,Manhattan
604,Westchester Sq-E Tremont Av,Bx,6,40.839892,-73.842952,Pelham Bay,Manhattan
606,Zerega Av,Bx,6,40.836488,-73.847036,Pelham Bay,Manhattan
607,Castle Hill Av,Bx,6,40.834255,-73.851222,Pelham Bay,Manhattan
608,Parkchester,Bx,6,40.833226,-73.860816,Northbound,Manhattan
609,St Lawrence Av,Bx,6,40.831509,-73.867618,Northbound,Manhattan
610,Morrison Av-Soundview,Bx,6,40.829521,-73.874516,Northbound,Manhattan
611,Elder Av,Bx,6,40.828584,-73.879159,Northbound,Manhattan
612,Whitlock Av,Bx,6,40.826525,-73.886283,Northbound,Manhattan
613,Hunts Point Av,Bx,6,40.820948,-73.890549,Northbound,Manhattan
614,Longwood Av,Bx,6,40.816104,-73.896435,Northbound,Manhattan
